"","length_hostname","ip","special_char","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","nb_subdomains","prefix_suffix","nb_redirection","char_repeat","shortest_words_raw","phish_hints","domain_registration_length","domain_age","web_traffic","google_index","page_rank","status"
"2",23,"1",7,0,0,0,0,"1",0.220779221,0,1,"0",1,4,2,0,4.35670882668959,5767,0,"1",2,"1"
"3",50,"1",14,0,1,0,0,"0",0.150793651,0,3,"1",1,2,2,0,2.70805020110221,4004,15.5783244502231,"1",0,"1"
"5",15,"0",10,1,0,0,0,"1",0,0,2,"0",1,3,3,0,5.41610040220442,8175,9.07406235368355,"0",6,"0"
"7",12,"0",5,1,0,0,0,"1",0,0,2,"0",1,3,3,0,5.14166355650266,7529,0,"0",1,"0"
"9",34,"0",6,0,0,0,0,"1",0,0,2,"0",0,0,8,0,5.91889385427315,7298,0,"0",5,"0"
"10",10,"0",18,0,0,0,0,"0",0.076923077,0,1,"0",0,0,2,1,4.85981240436167,9368,8.8209946457479,"0",5,"0"
"12",16,"0",9,1,0,0,0,"0",0.186046512,0,2,"0",0,3,2,0,6.19440539110467,7911,6.85118492749374,"0",6,"0"
"13",14,"0",15,0,0,0,0,"0",0.012048193,0,1,"0",0,2,3,0,5.77144112313002,1505,11.9763009263632,"0",4,"0"
"14",10,"0",6,0,0,0,0,"1",0.064516129,0,2,"0",1,1,4,0,4.20469261939097,1761,13.9752439113448,"1",4,"1"
"16",23,"0",9,0,0,0,0,"1",0.019607843,0,3,"0",1,1,4,0,6.19644412779452,3892,0,"0",4,"1"
"17",22,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,8.02943284058124,8301,11.5067765993834,"0",4,"0"
"18",21,"0",8,0,0,0,0,"1",0.06,0,2,"0",1,0,4,0,7.19893124068817,2316,0,"1",0,"1"
"19",23,"0",7,1,0,0,0,"1",0,0,2,"0",0,3,2,0,5.8664680569333,2935,0,"1",0,"1"
"20",19,"0",6,1,0,0,0,"1",0.148148148,0.210526316,2,"0",1,3,3,0,6.11368217983223,3932,13.7399407486163,"0",2,"0"
"21",14,"0",13,1,0,0,0,"1",0,0,3,"1",1,3,2,0,4.26267987704132,8759,10.1665438851615,"0",5,"0"
"22",16,"0",11,0,0,0,0,"0",0,0,2,"0",0,0,4,0,6.83195356556585,5647,6.94793706861497,"0",6,"0"
"23",11,"0",8,0,0,0,0,"1",0.1,0,2,"0",0,0,1,0,5.62762111369064,1184,0,"1",0,"1"
"25",50,"1",13,0,1,0,0,"1",0.095238095,0,3,"1",1,7,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"26",32,"0",6,0,0,0,0,"0",0,0,2,"0",0,0,8,0,5.92425579741453,7296,0,"1",5,"1"
"27",27,"0",6,1,0,0,0,"0",0,0,2,"0",0,3,3,0,5.75574221358691,6989,14.6055080952832,"0",4,"0"
"29",42,"1",9,0,1,0,0,"1",0.161764706,0,3,"0",1,3,2,0,3.25809653802148,3993,15.5572341874912,"1",0,"1"
"31",18,"0",6,1,0,0,0,"1",0,0,2,"0",0,3,3,0,5.67332326717149,1170,12.8740250874556,"0",4,"0"
"32",17,"1",7,0,0,0,0,"1",0.34375,0,2,"0",1,3,3,0,5.41610040220442,1237,0,"1",1,"1"
"33",28,"1",8,0,0,0,0,"1",0.25,0.321428571,3,"0",0,1,1,0,5.38449506278909,5627,0,"1",5,"1"
"34",14,"0",10,0,2,0,0,"1",0,0,2,"0",0,1,3,0,5.52942908751142,3767,16.0417051990052,"1",0,"1"
"35",17,"1",8,0,0,0,0,"0",0.212121212,0,2,"0",0,3,3,0,6.81563999007433,9316,2.63905732961526,"0",7,"0"
"38",34,"0",9,0,0,0,0,"1",0,0,2,"0",1,3,2,0,6.95654544315157,5159,0,"0",8,"0"
"40",24,"0",6,0,0,0,0,"1",0,0,2,"0",0,2,5,1,5.51745289646471,5230,15.5782233954358,"0",7,"0"
"41",30,"0",12,0,0,0,0,"1",0,0,2,"1",0,0,2,4,5.09375020080676,3125,0,"1",1,"1"
"42",17,"0",6,0,0,0,0,"1",0,0,2,"0",0,0,4,0,4.48863636973214,5026,13.208333712698,"1",4,"1"
"43",26,"1",14,1,0,0,0,"1",0.295918367,0,2,"1",2,4,2,2,5.55295958492162,2300,0,"1",2,"1"
"44",8,"0",4,0,0,0,0,"1",0,0,1,"0",0,1,5,0,0,2580,14.3293271044583,"0",2,"0"
"45",22,"0",11,0,0,0,0,"1",0,0,2,"0",1,3,3,0,8.10349427838097,5825,8.94884572927805,"0",7,"0"
"46",27,"0",18,0,0,0,0,"0",0.030534351,0,2,"1",1,6,1,0,5.94542060860658,8019,0,"1",4,"1"
"47",23,"0",8,1,0,0,0,"0",0,0,2,"1",0,4,3,0,5.28826703069454,7839,6.41017488196617,"0",6,"0"
"48",32,"0",7,0,0,0,0,"1",0,0,2,"0",1,1,10,0,5.52545293913178,2306,0,"1",0,"1"
"50",14,"1",13,0,0,0,0,"1",0.270440252,0,2,"0",1,4,3,0,5.78689738136671,1500,0,"1",0,"1"
"51",22,"1",8,1,0,0,0,"0",0.227272727,0.136363636,2,"1",0,3,3,0,7.15383380157884,2739,9.3637479186055,"1",6,"1"
"52",19,"0",11,0,0,0,0,"0",0.077669903,0,3,"0",0,2,2,0,5.44673737166631,134,14.2265056806505,"1",2,"1"
"53",20,"0",10,0,0,0,0,"1",0,0,3,"0",0,1,2,0,6.24997524225948,7802,0,"1",5,"1"
"54",16,"0",8,0,0,0,0,"0",0,0,2,"0",0,0,2,0,6.80572255341699,7133,2.56494935746154,"0",7,"0"
"55",26,"0",9,1,0,0,0,"1",0,0,3,"0",4,4,3,0,4.9272536851572,1690,0,"1",2,"1"
"56",19,"0",8,1,0,0,0,"1",0,0,3,"0",1,4,2,0,5.47227067367148,1588,0,"1",0,"1"
"57",27,"1",8,1,0,0,0,"1",0.283950617,0,2,"0",1,8,2,0,4.35670882668959,5767,0,"1",2,"1"
"58",31,"0",17,0,1,0,0,"1",0,0,2,"0",1,0,2,0,4.89783979995091,7615,7.69211333959547,"0",5,"0"
"59",16,"0",7,0,0,0,0,"0",0,0,2,"0",1,1,4,2,7.99799931797973,8348,0.693147180559945,"0",10,"1"
